PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia_,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,PROVINCIA,Campanna1,Campanna2,Campanna3,Zona _Renta,REV_Garantia,Averia_grave,QUEJA_CAC,COSTE_VENTA,km_anno,Revisiones,Edad Cliente,Mas_1_Coche,Probabilidad_0,Probabilidad_1
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,SOLTERO,M,Empresa,Valencia,NO,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,1,18-40,1,0.18456769,0.8154323
A,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Leon,SI,NO,SI,Alto,NO DATA,No,NO,0-2k,0-10k,1,18-40,1,0.42211127,0.5778887
B,TIPO6,FUEL 1,Baja,M,Financiera Marca,CASADO,M,Empresa,Valencia,SI,NO,NO,Medio,SI,No,NO,2k-3k,0-10k,1,50-60,1,0.3961441,0.6038559
B,TIPO6,FUEL 1,Media,M,Financiera Marca,CASADO,M,Empresa,Vizcaya,SI,NO,NO,Alto,SI,No,NO,2k-3k,10k-20k,2,18-40,1,0.3961441,0.6038559
B,TIPO6,FUEL 1,Media,M,Financiera Marca,SOLTERO,M,Empresa,Cadiz,SI,NO,NO,Medio-Bajo,SI,Averia muy grave,SI,5k-10k,20k-30k,2,50-60,1,0.35681832,0.6431817
B,TIPO6,FUEL 1,Media,M,Otros,CASADO,M,Empresa,Sevilla,SI,NO,NO,Medio,SI,No,NO,3k-5k,10k-20k,2,40-50,1,0.44236588,0.5576341
B,TIPO6,FUEL 1,Media,M,Financiera Marca,CASADO,M,Empresa,Barcelona,NO,NO,SI,Alto,NO DATA,No,NO,2k-3k,0-10k,2,60+,1,0.19664818,0.8033518
B,TIPO6,FUEL 1,Media,M,Financiera Marca,SOLTERO,M,Empresa,Valencia,SI,NO,NO,Medio,SI,No,NO,2k-3k,20k-30k,2,50-60,1,0.43172956,0.56827044
B,TIPO6,FUEL 1,Media,M,Financiera Marca,CASADO,M,Empresa,Granada,SI,NO,SI,Medio-Bajo,NO DATA,Averia muy grave,SI,0-2k,0-10k,2,40-50,1,0.34962738,0.6503726
B,TIPO6,FUEL 1,Media,A,Financiera Marca,CASADO,M,Empresa,Valencia,SI,NO,NO,Alto,SI,Averia grave,NO,2k-3k,10k-20k,1,50-60,1,0.3961441,0.6038559
B,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,F,Empresa,Valencia,SI,NO,NO,Alto,SI,Averia leve,NO,3k-5k,20k-30k,2,50-60,1,0.26805687,0.73194313
B,TIPO1,FUEL 1,Baja,M,Financiera Marca,CASADO,M,Empresa,Valencia,SI,NO,NO,Medio,NO DATA,No,NO,5k-10k,0-10k,2,18-40,1,0.17528826,0.82471174
B,TIPO1,FUEL 1,Media,M,Financiera Marca,CASADO,M,Empresa,Barcelona,SI,NO,SI,Alto,NO DATA,No,NO,3k-5k,0-10k,1,18-40,1,0.42211127,0.5778887
B,TIPO1,FUEL 1,Media,M,Financiera Marca,CASADO,F,Empresa,Toledo,SI,NO,NO,Alto,SI,Averia grave,NO,3k-5k,20k-30k,2,18-40,1,0.26805687,0.73194313
B,TIPO1,FUEL 1,Media,M,Financiera Marca,CASADO,F,Empresa,Valencia,SI,NO,NO,Medio,SI,No,NO,2k-3k,10k-20k,1,60+,1,0.39986593,0.6001341
B,TIPO1,FUEL 1,Media,M,Financiera Marca,CASADO,F,Empresa,Sevilla,SI,NO,NO,Medio,SI,No,NO,2k-3k,10k-20k,2,40-50,1,0.3961441,0.6038559
B,TIPO1,FUEL 1,Media,M,Financiera Marca,CASADO,M,Empresa,Barcelona,SI,NO,SI,Alto,SI,No,NO,3k-5k,10k-20k,2,50-60,1,0.39371264,0.60628736
B,TIPO1,FUEL 1,Media,M,Contado,CASADO,M,Empresa,Toledo,SI,NO,NO,Alto,SI,Averia leve,NO,3k-5k,10k-20k,2,40-50,1,0.3961441,0.6038559
B,TIPO1,FUEL 1,Media,M,Financiera Marca,SOLTERO,M,Empresa,Guipuzcua,SI,NO,SI,Medio,SI,No,NO,2k-3k,30k-50k,0,18-40,1,0.4288752,0.5711248
B,TIPO1,FUEL 1,Media,M,Financiera Marca,CASADO,M,Empresa,Asturias,SI,NO,SI,Medio,SI,Averia muy grave,SI,0-2k,0-10k,2,18-40,1,0.4631291,0.5368709
B,TIPO1,FUEL 1,Media,M,Financiera Marca,CASADO,M,Empresa,Vizcaya,SI,NO,NO,Medio,SI,No,NO,3k-5k,10k-20k,2,50-60,1,0.3961441,0.6038559
B,TIPO1,FUEL 1,Media,M,Financiera Marca,CASADO,M,Empresa,Barcelona,SI,NO,SI,Alto,SI,Averia muy grave,SI,3k-5k,0-10k,2,50-60,1,0.4631291,0.5368709
B,TIPO1,FUEL 1,Media,M,Financiera Marca,CASADO,M,Empresa,Asturias,SI,NO,SI,Medio,SI,Averia muy grave,SI,0-2k,10k-20k,2,40-50,1,0.4631291,0.5368709
B,TIPO1,FUEL 1,Media,M,Financiera Marca,CASADO,F,Empresa,Santa Cruz de Tenerife,SI,NO,NO,Medio,SI,No,NO,3k-5k,10k-20k,2,60+,1,0.39986593,0.6001341
B,TIPO1,FUEL 1,Media,M,Financiera Marca,CASADO,M,Empresa,Vizcaya,SI,NO,NO,Alto,SI,No,NO,2k-3k,0-10k,1,40-50,1,0.3961441,0.6038559
B,TIPO1,FUEL 1,Media,M,Otros,CASADO,F,Empresa,Vizcaya,NO,NO,NO,Alto,SI,No,NO,0-2k,20k-30k,1,50-60,1,0.46044952,0.5395505
B,TIPO6,FUEL 1,Baja,M,Financiera Marca,CASADO,M,Empresa,Vizcaya,SI,NO,NO,Medio-Bajo,NO DATA,No,NO,5k-10k,0-10k,0,60+,1,0.46154553,0.5384545
B,TIPO6,FUEL 1,Baja,M,Financiera Marca,CASADO,M,Empresa,Madrid,NO,NO,SI,Medio,NO DATA,No,NO,2k-3k,0-10k,0,60+,1,0.19664818,0.8033518
B,TIPO6,FUEL 1,Media,M,Financiera Marca,CASADO,M,Empresa,Madrid,SI,NO,SI,Medio,SI,No,SI,2k-3k,30k-50k,0,50-60,1,0.3342994,0.6657006
B,TIPO6,FUEL 1,Media,M,Financiera Marca,CASADO,M,Empresa,Zaragoza,SI,NO,NO,Medio,SI,No,NO,2k-3k,20k-30k,1,50-60,1,0.26805687,0.73194313
B,TIPO6,FUEL 1,Media,M,Financiera Marca,CASADO,M,Empresa,Asturias,SI,NO,NO,Medio-Bajo,NO DATA,No,NO,5k-10k,0-10k,2,18-40,1,0.42040908,0.5795909
B,TIPO6,FUEL 1,Media,M,Financiera Marca,EN PAREJA,M,Empresa,Lacoruna,SI,NO,SI,Alto,NO DATA,Averia grave,NO,0-2k,0-10k,1,40-50,1,0.42211127,0.5778887
B,TIPO6,FUEL 1,Media,M,Financiera Marca,CASADO,M,Empresa,Toledo,SI,NO,SI,Alto,NO DATA,No,NO,3k-5k,0-10k,0,18-40,1,0.06595236,0.93404764
B,TIPO6,FUEL 1,Media,M,Financiera Marca,EN PAREJA,F,Empresa,Vizcaya,NO,NO,SI,Alto,NO DATA,Averia grave,NO,3k-5k,0-10k,0,18-40,1,0.14255995,0.85744005
